GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Kochrezept-Backend,org.team7.kochrezeptbackend.request,RequestIds,10,0,0,0,3,0,3,0,3,0
Kochrezept-Backend,org.team7.kochrezeptbackend.entity,Comment,6,18,0,0,2,3,2,5,2,5
Kochrezept-Backend,org.team7.kochrezeptbackend.entity,Feedback,6,25,0,0,2,4,2,7,2,7
Kochrezept-Backend,org.team7.kochrezeptbackend.entity,User,0,51,0,0,0,12,0,10,0,10
Kochrezept-Backend,org.team7.kochrezeptbackend.entity,Ingredient,9,29,0,0,3,4,3,8,3,8
Kochrezept-Backend,org.team7.kochrezeptbackend.entity,Recipe,3,70,0,0,1,11,1,20,1,20
Kochrezept-Backend,org.team7.kochrezeptbackend.service.impl,CommentServiceImpl,0,17,0,0,0,5,0,3,0,3
Kochrezept-Backend,org.team7.kochrezeptbackend.service.impl,FeedbackServiceImpl,2,38,1,1,1,9,1,5,0,5
Kochrezept-Backend,org.team7.kochrezeptbackend.service.impl,UserServiceImpl,8,70,3,3,0,15,4,7,1,7
Kochrezept-Backend,org.team7.kochrezeptbackend.service.impl,RecipeServiceImpl,5,42,0,0,1,11,1,8,1,8
Kochrezept-Backend,org.team7.kochrezeptbackend.service.impl,IngredientServiceImpl,2,39,2,2,1,9,2,6,0,6
Kochrezept-Backend,org.team7.kochrezeptbackend,KochrezeptBackendApplication,5,3,0,0,2,1,1,1,1,1
Kochrezept-Backend,org.team7.kochrezeptbackend,CorsConfig,0,35,0,0,0,5,0,2,0,2
Kochrezept-Backend,org.team7.kochrezeptbackend.controller,IngredientController,16,109,4,6,4,25,4,6,0,5
Kochrezept-Backend,org.team7.kochrezeptbackend.controller,RecipeController,22,280,7,19,4,58,7,17,0,11
Kochrezept-Backend,org.team7.kochrezeptbackend.controller,UserController,24,141,5,7,4,29,6,8,1,7
Kochrezept-Backend,org.team7.kochrezeptbackend.controller,FeedbackController,27,141,6,8,7,32,6,6,0,5
Kochrezept-Backend,org.team7.kochrezeptbackend.controller,CommentController,10,52,2,2,2,13,2,3,0,3
